DEPARTAMENTO,MUNICIPIO,NOMBRE DEL CENTRO EDUCATIVO,MATEMÁTICA,CIENCIAS SOCIALES,LENGUAJE Y LITERATUA,CIENCIAS NATURALES,NOTA GLOBAL,Año,COD_CE
AHUACHAPÁN,AHUACHAPAN,"COMPLEJO EDUCATIVO ""GENERAL FABIO MORÁN""", 4.4 , 4.7 , 4.9 , 5.1 , 4.43 ," 2,016.0 ",10013
AHUACHAPÁN,AHUACHAPAN,"COMPLEJO EDUCATIVO ""DOCTOR ARTURO ROMERO""", 4.8 , 5.8 , 6.5 , 6.2 , 5.79 ," 2,016.0 ",10031
AHUACHAPÁN,AHUACHAPAN,"COMPLEJO EDUCATIVO ""HACIENDA LA LABOR""", 3.7 , 4.9 , 4.7 , 4.2 , 3.85 ," 2,016.0 ",10033
AHUACHAPÁN,AHUACHAPAN,"INSTITUTO NACIONAL ""ALEJANDRO DE HUMBOLDT""", 6.0 , 6.2 , 6.3 , 7.0 , 6.56 ," 2,016.0 ",10003
AHUACHAPÁN,AHUACHAPAN,"INSTITUTO NACIONAL ""LUIS REYNALDO TOBAR""", 4.1 , 4.7 , 4.7 , 4.9 , 4.19 ," 2,016.0 ",10053
AHUACHAPÁN,SAN FRANCISCO MENENDEZ,"INSTITUTO NACIONAL ""CANTÓN CARA SUCIA""", 4.1 , 6.1 , 5.9 , 5.3 , 5.26 ," 2,016.0 ",10059
AHUACHAPÁN,APANECA,"INSTITUTO NACIONAL ""LICENCIADO JOSÉ DANIEL CARIAS""", 4.3 , 6.0 , 5.6 , 5.4 , 5.17 ," 2,016.0 ",10060
AHUACHAPÁN,ATIQUIZAYA,COMPLEJO EDUCATIVO CANTÓN IZCAQUILIO, 3.3 , 4.3 , 4.3 , 4.1 , 3.39 ," 2,016.0 ",10062
AHUACHAPÁN,ATIQUIZAYA,"INSTITUTO NACIONAL ""CORNELIO AZENÓN SIERRA""", 4.6 , 5.6 , 5.6 , 5.5 , 5.17 ," 2,016.0 ",10073
AHUACHAPÁN,ATIQUIZAYA,"CENTRO ESCOLAR ""MERCEDES MONTERROSA DE CARCAMO""", 5.6 , 5.9 , 5.6 , 5.0 , 5.36 ," 2,016.0 ",10077
