lng,lat,codigo,nombre,dept,muni
-89.8583888888889,13.7588611111111,60036,"CENTRO ESCOLAR CASERIO CASHAGUA, CANTON CAUTA ARRIBA",AHUACHAPAN,GUAYMANGO
-89.6497222222222,14.1123888888889,10198,CENTRO ESCOLAR SOLEDAD MORENO DE BENAVIDES,SANTA ANA,CANDELARIA DE LA FRONTERA
-89.5234722222222,13.9230833333333,10211,CENTRO ESCOLAR CANTON CAÑA BRAVA,SANTA ANA,COATEPEQUE
-89.4373333333333,13.9843611111111,10225,COMPLEJO EDUCATIVO CANTON EL RESBALADERO,SANTA ANA,COATEPEQUE
-89.6814406845305,13.987147501155,10269,CENTRO ESCOLAR GUADALUPE RETANA HERRERA,SANTA ANA,CHALCHUAPA
-89.6795,13.9798888888889,20037,COLEGIO LA FE,SANTA ANA,CHALCHUAPA
-89.6898611111111,13.9625,86462,CENTRO ESCOLAR CANTON LA LIBERTAD,SANTA ANA,CHALCHUAPA
-89.6833611111111,13.9807777777778,88010,"COMPLEJO EDUCATIVO CATOLICO ""MARIA AUXILIADORA""",SANTA ANA,CHALCHUAPA
-89.3803055555556,14.3521111111111,10367,CENTRO ESCOLAR CANTON EL ROSARIO,SANTA ANA,METAPÁN
-89.4881666666667,14.4135,60022,CENTRO ESCOLAR CASERIO SAN JORGE CANTON MALPASO,SANTA ANA,METAPÁN
-89.5392222222222,14.0239166666667,10391,COMPLEJO EDUCATIVO COLONIA RIO ZARCO,SANTA ANA,SANTA ANA
-89.5815833333333,13.8838055555556,10437,CENTRO ESCOLAR FINCA EL PARAISO,SANTA ANA,SANTA ANA
-89.5606666666667,13.9592777777778,10442,CENTRO ESCOLAR RAFAEL ALVAREZ ANGEL,SANTA ANA,SANTA ANA
-89.5711666666667,13.8549722222222,10468,COMPLEJO EDUCATIVO FE Y ALEGRIA LA MERCED,SANTA ANA,SANTA ANA
-89.555,13.9937222222222,20930,COLEGIO EL RINCONCITO DE OZ,SANTA ANA,SANTA ANA
-89.3948611111111,14.0274166666667,62070,"CENTRO ESCOLAR CASERIO LOS RIVAS, CANTON NANCINTEPEQUE",SANTA ANA,SANTA ANA
-89.5803055555556,13.83925,62076,"CENTRO ESCOLAR CASERIO SAN JUAN LAS MINAS, CANTON LOS PLANES",SANTA ANA,SANTA ANA
-89.681042739151,13.7413098163056,21571,COLEGIO INMACULADO CORAZON DE MARIA,SONSONATE,IZALCO
-89.7513611111111,13.7211388888889,64072,CENTRO ESCOLAR CANTON EL CASTAÑO,SONSONATE,SAN ANTONIO DEL MONTE
-89.72225,13.7221944444444,21074,INSTITUTO TECNICO DE EDUCACION MILITAR CORONEL CIRIACO DE JESUS ALAS,SONSONATE,SONSONATE
-89.7138611111111,13.7256666666667,10749,CENTRO ESCOLAR REPUBLICA DE JAPON,SONSONATE,SONZACATE
-89.2814166666667,14.3796666666667,10777,CENTRO ESCOLAR CANTON LOS PLANES,CHALATENANGO,CITALÁ
-88.902,14.05925,14850,CENTRO ESCOLAR CANTON SAN MIGUELITO,CHALATENANGO,CHALATENANGO
-89.0678055555556,14.0833333333333,10840,CENTRO ESCOLAR CANTON EL TABLON,CHALATENANGO,EL PARAÍSO
-89.2103333333333,14.2794166666667,66053,"CENTRO ESCOLAR CASERIO EL TERRERO, CANTON LOS HORCONES",CHALATENANGO,LA PALMA
-89.2933333333333,14.2241666666667,66087,CENTRO ESCOLAR CANTON SANTA RITA CIMARRON,CHALATENANGO,NUEVA CONCEPCIÓN
-88.8718333333333,14.1413888888889,10928,COMPLEJO EDUCATIVO OJOS DE AGUA,CHALATENANGO,OJOS DE AGUA
-89.0225833333333,14.103,10974,CENTRO ESCOLAR MONSEÑOR MODESTO LOPEZ PORTILLO,CHALATENANGO,SANTA RITA
-89.3494444444444,13.5833333333333,60237,CENTRO ESCOLAR BELLO HORIZONTE,LA LIBERTAD,COMASAGUA
-89.2375,13.5866666666667,88027,CENTRO ESCOLAR CATOLICO SAN BONIFACIO,LA LIBERTAD,HUIZÚCAR
-89.2538888888889,13.5975,68048,CENTRO ESCOLAR CANTON LA LIMA,LA LIBERTAD,HUIZÚCAR
-89.2902777777778,13.6741666666667,11135,CENTRO ESCOLAR MARGARITA DURAN,LA LIBERTAD,SANTA TECLA
-89.2836111111111,13.8422222222222,68089,"CENTRO ESCOLAR CASERIO ESTANZUELAS, CANTON EL PUENTE",LA LIBERTAD,QUEZALTEPEQUE
-89.34,13.7597222222222,11216,CENTRO ESCOLAR CANTON JABALINCITO,LA LIBERTAD,SAN JUAN OPICO
-89.4147222222222,13.6958333333333,11270,CENTRO ESCOLAR CANTON LOS LAURELES,LA LIBERTAD,TALNIQUE
-89.5605555555556,13.5202777777778,68188,CENTRO ESCOLAR CANTON AGUACAYO,LA LIBERTAD,TEOTEPEQUE
-89.1886111111111,13.9572222222222,20279,INSTITUTO ABRAHAM LINCOLN,SAN SALVADOR,AGUILARES
-89.1846083333333,13.8218305555556,11334,CENTRO ESCOLAR SAN MARTIN DE PORRES CANTÓN SAN NICOLÁS,SAN SALVADOR,APOPA
-89.1763583333333,13.809125,20288,COLEGIO SAN JERONIMO,SAN SALVADOR,APOPA
-89.1255555555556,13.6747222222222,70027,CENTRO ESCOLAR CASERIO COMUNIDAD BETANIA CANTON SHANGALLO ARRIBA,SAN SALVADOR,ILOPANGO
-89.1889333333333,13.6413833333333,11495,COMPLEJO EDUCATIVO GOLDTREE LIEBES,SAN SALVADOR,PANCHIMALCO
-89.2020815031967,13.563995852032,86329,CENTRO ESCOLAR CANTON SAN RAMON,SAN SALVADOR,ROSARIO DE MORA
-89.1868527777778,13.6678944444444,20429,COLEGIO SANTA TERESA DE JESUS,SAN SALVADOR,SAN MARCOS
